"","year","month_name","date","notes"
"1","2018","August","27","Right after leaving for 3 days at Weber's"
"2","2018","September","04","at camp bow wow"
"3","2018","October","01","dogs at Webers from Sept 18-30"
"4","2018","October","09","dogs at Webers from Oct 5-8"
"5","2018","October","16","on 10/15 all had hair cuts"
"6","2018","October","22","dogs at Webers from Oct 18-22"
"7","2018","November","18","dogs at Webers from Nov 10-17"
"8","2019","January","08","Simone/Gagne  at Webers from Dec 20-Jan 4, Raisin at PC Dec 20-Jan7"
"9","2019","September","06","Gagne died 9/8/2019"
"10","2019","November","04","on vacation? Dogs at kennel?"
"11","2020","February","03","at Kennel?"
"12","2020","May","23","first haircut in 3-4 months"
"13","2020","June","23","in PC June 23-July 10, no wts taken, Raisin with us, Simone in kennel"
"14","2020","August","07","in Denver and PC aug 9-aug 31, no wts taken, Raisin with us, Simone in kennel"
